"fpkm.long","genes","age"
1.59527624149372,"Xkr4","P7"
2.27731543616638,"Sox17","P7"
6.81941918870419,"Mrpl15","P7"
15.4190469035549,"Lypla1","P7"
12.6968117495182,"Tcea1","P7"
30.4222749097924,"Rgs20","P7"
29.9004004706491,"Atp6v1h","P7"
0.146477855118149,"Oprk1","P7"
0.0320268736687193,"Npbwr1","P7"
5.99524737256356,"Rb1cc1","P7"
2.34776365876954,"St18","P7"
12.8022458717702,"Pcmtd1","P7"
0.569780038310226,"Sntg1","P7"
21.463108323589,"Rrs1","P7"
25.3520851514458,"Adhfe1","P7"
1.89160750533441,"2610203C22Rik","P7"
29.6429120818904,"3110035E14Rik","P7"
2.67649506877829,"Mybl1","P7"
6.96282004901336,"Vcpip1","P7"
3.61598962327886,"Sgk3","P7"
0.189759727997696,"Mcmdc2","P7"
44.996934400889,"Snhg6","P7"
0.0975860834992503,"Tcf24","P7"
0.190554414828354,"Ppp1r42","P7"
48.1957309874897,"Cops5","P7"
11.974743289228,"Cspp1","P7"
12.1042013426077,"Arfgef1","P7"
6.04857949211555,"Prex2","P7"
2.0030380189913,"A830018L16Rik","P7"
1.78151896821143,"Sulf1","P7"
1.3589377860178,"Slco5a1","P7"
9.36922263966926,"Ncoa2","P7"
22.3585498799524,"Tram1","P7"
7.03556148478167,"Lactb2","P7"
0.502427776118608,"Gm5523","P7"
9.93181804986389,"Eya1","P7"
0.375712786790627,"Msc","P7"
0.21798276128154,"Trpa1","P7"
0.520187994770631,"Kcnb2","P7"
5.93130145639896,"Terf1","P7"
0.291269225232184,"Sbspon","P7"
0.191936151304249,"4930444P10Rik","P7"
77.0075314592995,"Rpl7","P7"
8.12745102227658,"Rdh10","P7"
16.3044144978243,"Stau2","P7"
6.99428334685493,"Ube2w","P7"
37.0799935799413,"Tceb1","P7"
13.0386708416899,"Tmem70","P7"
1.90377311083431,"Ly96","P7"
1.19025474505072,"Jph1","P7"
10.1697805108673,"Gdap1","P7"
0.0595478320275594,"Pi15","P7"
0.381642675010987,"Crispld1","P7"
0.599032636607821,"Tfap2d","P7"
0.0998746634341212,"Tfap2b","P7"
19.4653402995258,"Mcm3","P7"
1.00168392097576,"6720483E21Rik","P7"
85.1815343179101,"Paqr8","P7"
2.70626997857391,"Efhc1","P7"
3.63415055602644,"Tram2","P7"
5.17887519644648,"Tmem14a","P7"
0.397897887748888,"Gsta3","P7"
1.84276225172724,"Kcnq5","P7"
8.65171274975843,"Rims1","P7"
4.54771202717584,"Ogfrl1","P7"
9.32066457222099,"B3gat2","P7"
23.5397972983124,"Smap1","P7"
15.5944402400453,"Sdhaf4","P7"
10.0132490162873,"Fam135a","P7"
4.0803890622678,"Col9a1","P7"
0.387026041875797,"Col19a1","P7"
24.5341465285548,"Lmbrd1","P7"
25.9840139819872,"Adgrb3","P7"
1.13158707280932,"Gm20172","P7"
14.0880844232874,"Phf3","P7"
3.5107668369047,"Ptp4a1","P7"
2.85913815948891,"Khdrbs2","P7"
0.798611596928381,"Gm9839","P7"
1.05336234582724,"Gm5415","P7"
12.0889964276062,"Prim2","P7"
7.78940928789703,"Rab23","P7"
6.23695875782931,"Bag2","P7"
7.0618571910418,"Zfp451","P7"
6.63949716626131,"Gm15455","P7"
26.9604995918573,"Bend6","P7"
10.1762328713349,"Dst","P7"
9.40271735828181,"Ccdc115","P7"
9.29293367815485,"Imp4","P7"
1.28606823547241,"Ptpn18","P7"
2.00067252239461,"Amer3","P7"
23.6675534586399,"Arhgef4","P7"
64.7596274353538,"Fam168b","P7"
18.7126046711697,"Plekhb2","P7"
16.3926525817273,"Hs6st1","P7"
13.2555549082268,"Uggt1","P7"
0.239014098192354,"Neurl3","P7"
2.65291579123156,"Arid5a","P7"
18.1271903901838,"Kansl3","P7"
1.95328187443966,"Fer1l5","P7"
15.2463799848776,"Lman2l","P7"
2.25420430131539,"Cnnm4","P7"
11.2534021989743,"Cnnm3","P7"
2.53049595814178,"Ankrd23","P7"
3.92372651472314,"Ankrd39","P7"
8.13097922808626,"Sema4c","P7"
0.0237550655009482,"Fam178b","P7"
20.8173276895985,"Cox5b","P7"
39.3927296244096,"Actr1b","P7"
0.0949982167416995,"4933424G06Rik","P7"
0.464034519543266,"Zap70","P7"
20.1753565368421,"Tmem131","P7"
6.19525266785917,"Inpp4a","P7"
22.420833780544,"Coa5","P7"
25.4181968615122,"Unc50","P7"
2.29195628479959,"Mgat4a","P7"
9.21670512254904,"4930594C11Rik","P7"
2.36953406311136,"2010300C02Rik","P7"
3.20854135696354,"Tsga10","P7"
2.56072384474486,"Lipt1","P7"
7.40920555193682,"Mitd1","P7"
22.5088770009795,"Mrpl30","P7"
5.4934186211815,"Txndc9","P7"
17.801308587433,"Eif5b","P7"
6.62034598306241,"Rev1","P7"
5.19645975227351,"Aff3","P7"
8.7733855496792,"Lonrf2","P7"
24.2726395889309,"Chst10","P7"
20.3343979732104,"Pdcl3","P7"
2.61912250929538,"Npas2","P7"
8.12345181857918,"Rpl31","P7"
3.30137637727573,"Tbc1d8","P7"
9.89426611261472,"Cnot11","P7"
5.17753416352116,"Snord89","P7"
16.1744413841148,"Rnf149","P7"
4.17525316152189,"Creg2","P7"
83.4729019429582,"Map4k4","P7"
0.441894581128989,"Gm16894","P7"
1.10172840435643,"Il1r1","P7"
0.389742120958744,"Il1rl2","P7"
0.0907348133197084,"Il1rl1","P7"
0.206909301491096,"Slc9a2","P7"
1.88812226204925,"Mfsd9","P7"
175.275707991901,"Pantr1","P7"
80.5669770291606,"Pou3f3","P7"
30.4135644559642,"2900092D14Rik","P7"
20.0490849362368,"Pantr2","P7"
0.184352612449523,"Dalir","P7"
16.8738436481861,"Mrps9","P7"
0.941863694089174,"Gpr45","P7"
13.702618078054,"Tgfbrap1","P7"
7.90408429324372,"AI597479","P7"
1.91910729883173,"Fhl2","P7"
7.50304941310896,"Nck2","P7"
3.11310811833363,"1500015O10Rik","P7"
11.6781566695295,"Uxs1","P7"
12.3884512153954,"Tpp2","P7"
6.19995824256641,"Tex30","P7"
15.024714786405,"Kdelc1","P7"
6.53994987780598,"Bivm","P7"
10.1219155260929,"Ercc5","P7"
7.29900084865329,"Gulp1","P7"
6.4526791540286,"Col3a1","P7"
4.8308405358925,"Col5a2","P7"
9.78002496252422,"Wdr75","P7"
16.0303059815153,"Slc40a1","P7"
