chr,source,id,start,end,.,strand,..,annotation,seqLen,geneName
chr4,refGene,transcript,75941239,78211742,.,-,.,gene_id Ptprd; transcript_id NM_001368991;  gene_name Ptprd;,2270503,Ptprd
chrX,refGene,transcript,82948870,85205050,.,+,.,gene_id Dmd; transcript_id NM_007868;  gene_name Dmd;,2256180,Dmd
chr6,refGene,transcript,45060061,47301371,.,+,.,gene_id Cntnap2; transcript_id NM_001004357;  gene_name Cntnap2;,2241310,Cntnap2
chr16,refGene,transcript,39984364,42181679,.,+,.,gene_id Lsamp; transcript_id NM_001361281;  gene_name Lsamp;,2197315,Lsamp
chr2,refGene,transcript,40596773,42653598,.,-,.,gene_id Lrp1b; transcript_id NM_053011;  gene_name Lrp1b;,2056825,Lrp1b
chr2,refGene,transcript,140395430,142390050,.,+,.,gene_id Macrod2; transcript_id NM_001013802;  gene_name Macrod2;,1994620,Macrod2
chr8,refGene,transcript,15892545,17535385,.,-,.,gene_id Csmd1; transcript_id NM_053171;  gene_name Csmd1;,1642840,Csmd1
chr14,refGene,transcript,9550094,11162035,.,-,.,gene_id Fhit; transcript_id NM_001308285;  gene_name Fhit;,1611941,Fhit
chr10,refGene,transcript,63430098,65003667,.,+,.,gene_id Ctnna3; transcript_id NM_177612;  gene_name Ctnna3;,1573569,Ctnna3
chr12,refGene,transcript,88794504,90334933,.,+,.,gene_id Nrxn3; transcript_id NM_001198587;  gene_name Nrxn3;,1540429,Nrxn3
chr16,refGene,transcript,5884793,7412480,.,+,.,gene_id Rbfox1; transcript_id NM_021477;  gene_name Rbfox1;,1527687,Rbfox1
chr5,refGene,transcript,19227046,20704791,.,+,.,gene_id Magi2; transcript_id NM_001170746;  gene_name Magi2;,1477745,Magi2
chr6,refGene,transcript,63256006,64704321,.,+,.,gene_id Grid2; transcript_id NM_001370966;  gene_name Grid2;,1448315,Grid2
chr14,refGene,transcript,115092215,116525192,.,+,.,gene_id Gpc5; transcript_id NM_175500;  gene_name Gpc5;,1432977,Gpc5
chrX,refGene,transcript,86740937,88115948,.,-,.,gene_id Il1rapl1; transcript_id NM_001160403;  gene_name Il1rapl1;,1375011,Il1rapl1
chr7,refGene,transcript,91090786,92449246,.,+,.,gene_id Dlg2; transcript_id NM_011807;  gene_name Dlg2;,1358460,Dlg2
chr2,refGene,transcript,96318169,97631664,.,+,.,gene_id Lrrc4c; transcript_id NM_001289743;  gene_name Lrrc4c;,1313495,Lrrc4c
chr13,refGene,transcript,108654177,109955969,.,+,.,gene_id Pde4d; transcript_id NM_011056;  gene_name Pde4d;,1301792,Pde4d
chrX,refGene,transcript,137570754,138849077,.,+,.,gene_id Il1rapl2; transcript_id NM_030688;  gene_name Il1rapl2;,1278323,Il1rapl2
chr4,refGene,transcript,110397698,111664324,.,+,.,gene_id Agbl4; transcript_id NM_001284190;  gene_name Agbl4;,1266626,Agbl4
